ticker,sector,target_price
V,Card/Payment Networks,300.0
LULU,Consumer Discretionary,135.0
MC,Luxury Goods,450.0
MA,Card/Payment Networks,
AXP,Card/Payment Networks,
PYPL,Card/Payment Networks,
XYZ,Card/Payment Networks,
JPM,Global Banks,
BAC,Global Banks,
HSBC,Global Banks,
RY,Global Banks,
1398.HK,Global Banks,
ADYEN,Fintech/Digital Payments,
NU,Fintech/Digital Payments,
COIN,Fintech/Digital Payments,
FISV,Fintech/Digital Payments,
BRK.B,Insurance,
UNH,Insurance,
ALV,Insurance,
1299.HK,Insurance,
2318.HK,Insurance,
NVDA,Semiconductors,
TSM,Semiconductors,
AVGO,Semiconductors,
AMD,Semiconductors,
005930.KS,Semiconductors,
ASML,Semiconductor Equipment,
AMAT,Semiconductor Equipment,
LRCX,Semiconductor Equipment,
KLAC,Semiconductor Equipment,
8035.T,Semiconductor Equipment,
MSFT,Software/Cloud,
ORCL,Software/Cloud,
SAP,Software/Cloud,
CRM,Software/Cloud,
NOW,Software/Cloud,
MU,Memory/Storage,
WDC,Memory/Storage,
2222.SR,Oil & Gas,
XOM,Oil & Gas,
CVX,Oil & Gas,
SHEL,Oil & Gas,
TTE,Oil & Gas,
CCJ,Nuclear - Uranium,
KAP,Nuclear - Uranium,
NXE,Nuclear - Uranium,
UEC,Nuclear - Uranium,
LEU,Nuclear - Uranium,
SMR,Nuclear - SMR,
OKLO,Nuclear - SMR,
GEV,Nuclear - SMR,
BWXT,Nuclear - SMR,
CEG,Nuclear - SMR,
FSLR,Solar,
ENPH,Solar,
SEDG,Solar,
300274.SZ,Solar,
JKS,Solar,
NEE,Wind/Renewables,
ORSTED,Wind/Renewables,
VWS,Wind/Renewables,
IBE,Wind/Renewables,
EDPR,Wind/Renewables,
BHP,Diversified Miners,
RIO,Diversified Miners,
GLEN,Diversified Miners,
VALE,Diversified Miners,
AAL,Diversified Miners,
NEM,Gold Miners,
AEM,Gold Miners,
GOLD,Gold Miners,
AU,Gold Miners,
GFI,Gold Miners,
FCX,Copper Miners,
SCCO,Copper Miners,
ANTO,Copper Miners,
FM,Copper Miners,
ALB,Lithium Miners,
SQM,Lithium Miners,
1772.HK,Lithium Miners,
9696.HK,Lithium Miners,
PLS,Lithium Miners,
5401.T,Steel/Iron,
MT,Steel/Iron,
PKX,Steel/Iron,
NUE,Steel/Iron,
600019.SS,Steel/Iron,
PAAS,Silver Miners,
WPM,Silver Miners,
FRES,Silver Miners,
HL,Silver Miners,
AG,Silver Miners,
AA,Aluminum,
NHY,Aluminum,
2600.HK,Aluminum,
CSTM,Aluminum,
LIN,Industrial Chemicals,
AI,Industrial Chemicals,
BAS,Industrial Chemicals,
DOW,Industrial Chemicals,
DD,Industrial Chemicals,
SHW,Specialty Chemicals,
ECL,Specialty Chemicals,
APD,Specialty Chemicals,
GIVN,Specialty Chemicals,
SIKA,Specialty Chemicals,
NTR,Agricultural Chemicals,
CTVA,Agricultural Chemicals,
CF,Agricultural Chemicals,
MOS,Agricultural Chemicals,
YAR,Agricultural Chemicals,
LLY,Healthcare - Big Pharma,
JNJ,Healthcare - Big Pharma,
ROG,Healthcare - Big Pharma,
ABBV,Healthcare - Big Pharma,
ABT,Medical Devices,
MDT,Medical Devices,
ISRG,Medical Devices,
SYK,Medical Devices,
BSX,Medical Devices,
AMGN,Biotech,
VRTX,Biotech,
GILD,Biotech,
REGN,Biotech,
MRNA,Biotech,
CHTR,Telecom/Media,
BABA,,
CPRT,,
